reason = roomSpotted x,y,z = 10070,12628,1 room = hall
reason = roomSpotted x,y,z = 10063,12650,1 room = hall
reason = roomSpotted x,y,z = 10099,12624,1 room = hall
reason = roomSpotted x,y,z = 10109,12624,1 room = hall
reason = roomSpotted x,y,z = 10063,12660,1 room = hall
reason = roomSpotted x,y,z = 10115,12624,1 room = hall
reason = roomSpotted x,y,z = 10066,12628,1 room = hall
reason = roomSpotted x,y,z = 10062,12648,1 room = hall
reason = roomSpotted x,y,z = 10066,12627,1 room = hall
reason = roomSpotted x,y,z = 10104,12626,1 room = hall
reason = roomSpotted x,y,z = 10061,12646,1 room = hall
reason = roomSpotted x,y,z = 10063,12635,1 room = hall
reason = roomSpotted x,y,z = 10069,12628,1 room = hall
reason = roomSpotted x,y,z = 10063,12646,1 room = hall
reason = roomSpotted x,y,z = 10110,12625,1 room = hall
reason = roomSpotted x,y,z = 10063,12636,1 room = hall
reason = roomSpotted x,y,z = 10061,12621,1 room = hall
reason = roomSpotted x,y,z = 10110,12623,1 room = hall.
[28-11-22 02:00:02.347] reason = roomSpotted x,y,z = 10108,12623,1 room = hall
reason = roomSpotted x,y,z = 10063,12620,1 room = hall
reason = roomSpotted x,y,z = 10062,12620,1 room = hall
reason = roomSpotted x,y,z = 10061,12642,1 room = hall
reason = roomSpotted x,y,z = 10062,12651,1 room = hall
reason = roomSpotted x,y,z = 10106,12624,1 room = hall
reason = roomSpotted x,y,z = 10061,12627,1 room = hall
reason = roomSpotted x,y,z = 10095,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10097,12617,2 room = livingroom
reason = roomSpotted x,y,z = 10093,12621,2 room = livingroom
reason = roomSpotted x,y,z = 10089,12614,2 room = livingroom
reason = roomSpotted x,y,z = 10091,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10089,12615,2 room = livingroom
reason = roomSpotted x,y,z = 10092,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10099,12619,2 room = livingroom
reason = roomSpotted x,y,z = 10061,12648,2 room = hall
reason = roomSpotted x,y,z = 10070,12627,2 room = hall
reason = roomSpotted x,y,z = 10103,12626,2 room = hall.
[28-11-22 02:00:02.348] reason = roomSpotted x,y,z = 10119,12625,2 room = hall
reason = roomSpotted x,y,z = 10061,12622,2 room = hall
reason = roomSpotted x,y,z = 10062,12645,2 room = hall
reason = roomSpotted x,y,z = 10061,12632,2 room = hall
reason = roomSpotted x,y,z = 10062,12651,2 room = hall
reason = roomSpotted x,y,z = 10109,12623,2 room = hall
reason = roomSpotted x,y,z = 10075,12623,2 room = hall
reason = roomSpotted x,y,z = 10077,12627,2 room = hall
reason = roomSpotted x,y,z = 10086,12623,2 room = hall
reason = roomSpotted x,y,z = 10083,12623,2 room = hall
reason = roomSpotted x,y,z = 10095,12624,2 room = hall
reason = roomSpotted x,y,z = 10061,12661,2 room = hall
reason = roomSpotted x,y,z = 10071,12627,2 room = hall
reason = roomSpotted x,y,z = 10061,12654,2 room = hall
reason = roomSpotted x,y,z = 10063,12661,2 room = hall
reason = roomSpotted x,y,z = 10067,12628,2 room = hall
reason = roomSpotted x,y,z = 10064,12627,2 room = hall
reason = roomSpotted x,y,z = 10105,12623,2 room = hall
reason = roomSpotted x,y,z = 10093,12623,2 room = hall.
[28-11-22 02:00:02.350] reason = roomSpotted x,y,z = 10061,12627,2 room = hall
reason = roomSpotted x,y,z = 10063,12632,2 room = hall
reason = roomSpotted x,y,z = 10062,12654,2 room = hall
reason = roomSpotted x,y,z = 10086,12625,2 room = hall
reason = roomSpotted x,y,z = 10062,12626,2 room = hall
reason = roomSpotted x,y,z = 10063,12645,2 room = hall
reason = roomSpotted x,y,z = 10116,12624,2 room = hall
reason = roomSpotted x,y,z = 10074,12625,2 room = hall
reason = roomSpotted x,y,z = 10093,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10097,12616,3 room = livingroom
reason = roomSpotted x,y,z = 10094,12617,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12617,3 room = bathroom
reason = roomSpotted x,y,z = 10091,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10089,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10092,12616,3 room = livingroom
reason = roomSpotted x,y,z = 10091,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10101,12615,3 room = livingroom.
[28-11-22 02:00:02.355] reason = roomSpotted x,y,z = 10100,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10099,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10099,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10092,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10090,12620,3 room = livingroom
reason = roomSpotted x,y,z = 10062,12653,3 room = hall
reason = roomSpotted x,y,z = 10105,12623,3 room = hall
reason = roomSpotted x,y,z = 10061,12643,3 room = hall
reason = roomSpotted x,y,z = 10111,12624,3 room = hall
reason = roomSpotted x,y,z = 10062,12647,3 room = hall
reason = roomSpotted x,y,z = 10061,12621,3 room = hall
reason = roomSpotted x,y,z = 10062,12632,3 room = hall
reason = roomSpotted x,y,z = 10061,12654,3 room = hall
reason = roomSpotted x,y,z = 10074,12626,3 room = hall
reason = roomSpotted x,y,z = 10074,12627,3 room = hall
reason = roomSpotted x,y,z = 10086,12626,3 room = hall
reason = roomSpotted x,y,z = 10062,12623,3 room = hall
reason = roomSpotted x,y,z = 10063,12657,3 room = hall.
[28-11-22 02:00:02.356] reason = roomSpotted x,y,z = 10072,12628,3 room = hall
reason = roomSpotted x,y,z = 10096,12624,3 room = hall
reason = roomSpotted x,y,z = 10061,12651,3 room = hall
reason = roomSpotted x,y,z = 10061,12660,3 room = hall
reason = roomSpotted x,y,z = 10081,12627,3 room = hall
reason = roomSpotted x,y,z = 10063,12635,3 room = hall
reason = roomSpotted x,y,z = 10063,12654,3 room = hall
reason = roomSpotted x,y,z = 10075,12631,3 room = hall
reason = roomSpotted x,y,z = 10099,12624,3 room = hall
reason = roomSpotted x,y,z = 10064,12628,3 room = hall
reason = roomSpotted x,y,z = 10062,12641,3 room = hall
reason = roomSpotted x,y,z = 10061,12648,3 room = hall
reason = roomSpotted x,y,z = 10116,12625,3 room = hall
reason = roomSpotted x,y,z = 10064,12630,3 room = hall
reason = roomSpotted x,y,z = 10062,12657,3 room = hall
reason = roomSpotted x,y,z = 10089,12625,3 room = hall
reason = roomSpotted x,y,z = 10063,12653,3 room = hall
reason = roomSpotted x,y,z = 10111,12618,1 room = livingroom
reason = roomSpotted x,y,z = 10113,12616,1 room = livingroom.
[28-11-22 02:00:02.361] reason = roomSpotted x,y,z = 10114,12618,1 room = livingroom
reason = roomSpotted x,y,z = 10108,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10105,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10112,12613,2 room = livingroom
reason = roomSpotted x,y,z = 10114,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10113,12615,2 room = livingroom
reason = roomSpotted x,y,z = 10113,12616,2 room = livingroom
reason = roomSpotted x,y,z = 10110,12620,2 room = livingroom
reason = roomSpotted x,y,z = 10112,12617,2 room = livingroom
reason = roomSpotted x,y,z = 10114,12614,2 room = livingroom
reason = roomSpotted x,y,z = 10105,12615,2 room = livingroom
reason = roomSpotted x,y,z = 10108,12613,2 room = livingroom
reason = roomSpotted x,y,z = 10109,12615,2 room = livingroom
reason = roomSpotted x,y,z = 10107,12619,2 room = livingroom
reason = roomSpotted x,y,z = 10107,12621,2 room = livingroom
reason = roomSpotted x,y,z = 10116,12620,2 room = livingroom
reason = roomSpotted x,y,z = 10111,12613,3 room = livingroom.
[28-11-22 02:00:02.362] reason = roomSpotted x,y,z = 10111,12620,3 room = livingroom
reason = roomSpotted x,y,z = 10111,12621,3 room = livingroom
reason = roomSpotted x,y,z = 10110,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10110,12617,3 room = livingroom
reason = roomSpotted x,y,z = 10110,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10111,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10111,12616,3 room = livingroom
reason = roomSpotted x,y,z = 10114,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10110,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10114,12616,3 room = livingroom
reason = roomSpotted x,y,z = 10117,12614,3 room = livingroom
reason = roomSpotted x,y,z = 10117,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10116,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10117,12613,3 room = livingroom
reason = roomSpotted x,y,z = 10115,12615,3 room = livingroom
reason = roomSpotted x,y,z = 10109,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10107,12620,3 room = livingroom.
[28-11-22 02:00:02.364] reason = roomSpotted x,y,z = 10108,12620,3 room = livingroom
reason = roomSpotted x,y,z = 10107,12621,3 room = livingroom
reason = roomSpotted x,y,z = 10115,12620,3 room = livingroom
reason = roomSpotted x,y,z = 10116,12621,3 room = livingroom
reason = roomSpotted x,y,z = 10115,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10117,12622,3 room = livingroom
reason = roomSpotted x,y,z = 10117,12619,3 room = livingroom
reason = roomSpotted x,y,z = 10053,12620,1 room = livingroom
reason = roomSpotted x,y,z = 10051,12622,1 room = livingroom
reason = roomSpotted x,y,z = 10055,12619,1 room = livingroom
reason = roomSpotted x,y,z = 10055,12618,1 room = livingroom
reason = roomSpotted x,y,z = 10055,12623,1 room = livingroom
reason = roomSpotted x,y,z = 10058,12622,1 room = livingroom
reason = roomSpotted x,y,z = 10055,12624,1 room = livingroom
reason = roomSpotted x,y,z = 10056,12620,1 room = livingroom
reason = roomSpotted x,y,z = 10060,12622,1 room = livingroom
reason = roomSpotted x,y,z = 10054,12619,1 room = livingroom.
[28-11-22 02:00:02.367] reason = roomSpotted x,y,z = 10054,12616,1 room = livingroom
reason = roomSpotted x,y,z = 10060,12617,1 room = livingroom
reason = roomSpotted x,y,z = 10058,12615,1 room = livingroom
reason = roomSpotted x,y,z = 10058,12617,1 room = livingroom
reason = roomSpotted x,y,z = 10059,12626,1 room = livingroom
reason = roomSpotted x,y,z = 10057,12626,1 room = livingroom
reason = roomSpotted x,y,z = 10056,12623,2 room = livingroom
reason = roomSpotted x,y,z = 10055,12625,2 room = livingroom
reason = roomSpotted x,y,z = 10051,12621,2 room = livingroom
reason = roomSpotted x,y,z = 10055,12624,2 room = livingroom
reason = roomSpotted x,y,z = 10058,12623,2 room = livingroom
reason = roomSpotted x,y,z = 10057,12621,2 room = kitchen
reason = roomSpotted x,y,z = 10058,12620,2 room = kitchen
reason = roomSpotted x,y,z = 10058,12621,2 room = kitchen
reason = roomSpotted x,y,z = 10059,12621,2 room = kitchen
reason = roomSpotted x,y,z = 10060,12620,2 room = kitchen
reason = roomSpotted x,y,z = 10059,12620,2 room = kitchen.
[28-11-22 02:00:02.370] reason = roomSpotted x,y,z = 10057,12620,2 room = kitchen
reason = roomSpotted x,y,z = 10053,12618,2 room = livingroom
reason = roomSpotted x,y,z = 10053,12614,2 room = livingroom
reason = roomSpotted x,y,z = 10052,12627,2 room = livingroom
reason = roomSpotted x,y,z = 10051,12626,2 room = livingroom
reason = roomSpotted x,y,z = 10051,12625,2 room = livingroom
reason = roomSpotted x,y,z = 10053,12625,2 room = livingroom
reason = roomSpotted x,y,z = 10059,12627,2 room = livingroom
reason = roomSpotted x,y,z = 10058,12624,2 room = livingroom
reason = roomSpotted x,y,z = 10058,12627,2 room = livingroom
